Feature,Importance
balance_error_org,0.3182046532517589
oldbalanceOrg,0.13072900552030056
newbalanceOrig,0.126742785703871
amount,0.09940204320626064
type,0.09287256962882434
merchant_type,0.05777163679695716
balance_error_dest,0.04122544796762399
step,0.029487475620860897
transaction_hour,0.028815514231948808
newbalanceDest,0.027523135845891236
transaction_day,0.020423974686744253
oldbalanceDest,0.016490934080735164
transaction_week,0.006476248048534419
account_tenure_months,0.0011998763754942294
isFlaggedFraud,0.0011134899788131857
age_group,0.0004474849912922725
risk_region,0.00040726709243355094
channel,0.000314529000594118
device_type,0.00023035205374751834
customer_segment,0.00012157591731359028
customer_type,0.0
